Type,Name,District,Weather Type ,Category,Budget
Tourist Place,M265+R97 Fort Jaffna,Jaffna,Dry,Fort,Low
Tourist Place,M265+R97 Fort Jaffna,Jaffna,Dry,Fort,Low
Tourist Place,M265+R97 Fort Jaffna,Jaffna,Dry,Fort,Low
Tourist Place,M265+R97 Fort Jaffna,Jaffna,Dry,Fort,Low
Tourist Place,M265+R97 Fort Jaffna,Jaffna,Dry,Fort,Low
Tourist Place,M265+R97 Fort Jaffna,Jaffna,Dry,Fort,Low
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Tourist Place,Gampaha Botanical Garden,Gampaha,Tropical,Garden,Medium
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Historical landmark,Talai Mannar New Lighthouse,Mannar,Dry,Lighthouse,Low
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,Kattukkarai Kulam,Mannar,Dry,Lake,Free
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Tourist Place,"Baobab Tree Pallimunai, Mannar",Mannar,Dry,Garden,Low
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Historical landmark,Thalvupadu Beach,Mannar,Dry,Beach,Free
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Vankalai bird's Sanctuary,Mannar,Dry,Wildlife Tourism Zones,Low
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Kilinochchi Lumbini Viharaya,Kilinochchi,Dry,Temple,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Akkarayan Tree Cloud Photoshoot,Kilinochchi,Mild,Forest,Free
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Green Park - ????? ??????,Kilinochchi,Mild,Park,Medium
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Tourist Place,Kilanai Pond ?????? ?????,Mulative,Dry,Beach,Free
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Historical landmark,Pandaravanniyan statue,Mulative,Dry,Beach,Low
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Chundikulam Bird Sanctuary,Mulative,Mild,Park,Medium
Tourist Place,Eratperiyakulam,Vavuniya,Mild,Forest,Free
Tourist Place,Eratperiyakulam,Vavuniya,Mild,Forest,Free
Tourist Place,Eratperiyakulam,Vavuniya,Mild,Forest,Free
Tourist Place,Eratperiyakulam,Vavuniya,Mild,Forest,Free
